CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3911727,194,373,246,426,1,59
3911727,3911722,194,373,246,426,1,59
3911722,3911733,194,373,246,426,1,59
3911733,3911722,194,373,246,426,1,59
3911722,3911740,194,373,262,329,1,99
3911740,3911722,194,373,246,426,1,99
3911722,3911742,194,373,246,426,1,59
3911742,3911722,194,373,246,426,1,59
3911722,3911746,194,373,246,426,1,59
3911746,3911722,194,373,246,426,1,59
3911722,3911750,194,373,246,426,1,59
3911750,3911722,401,413,246,426,1,59
3911722,3911753,194,373,246,426,1,59
3911753,3911722,401,413,246,426,1,59
3911722,3911755,194,373,246,426,1,59
3911755,3911722,401,413,246,426,1,59
3911722,3911757,194,373,246,426,1,59
3911757,3911722,401,413,246,426,1,59
3911722,3911761,194,373,246,426,1,59
3911761,3911722,401,413,246,426,1,59
3911722,3911744,194,373,262,329,1,99
3911744,3911722,194,373,246,426,1,99
3911722,3911766,194,373,246,426,1,59
3911766,3911722,401,413,246,426,1,59
3911722,3911770,194,373,280,459,1,157
3911770,3911722,233,378,246,426,1,157
3911722,3911666,194,373,258,331,1,100
3911666,3911722,194,373,246,426,1,100
3911722,3911772,194,373,246,426,1,59
3911772,3911722,401,413,246,426,1,59
3911722,3911779,194,373,246,426,1,59
3911779,3911722,401,413,246,426,1,59
3911722,3911794,194,373,280,459,1,157
3911794,3911722,233,378,246,426,1,157
3911722,3911782,194,373,246,426,1,59
3911782,3911722,401,413,246,426,1,59
3911722,3911795,194,373,246,426,1,59
3911795,3911722,241,369,246,426,1,59
3911722,3911829,194,373,258,331,1,100
3911829,3911722,194,373,246,426,1,100
3911722,3911675,194,373,316,467,1,187
3911675,3911722,233,378,246,426,1,187
3911722,3911808,194,373,246,426,1,59
3911808,3911722,241,369,246,426,1,59
3911722,3911834,194,373,258,331,1,100
3911834,3911722,194,373,246,426,1,100
3911722,3911677,194,373,281,473,1,143
3911677,3911722,233,378,246,426,1,143
3911722,3911827,194,373,246,426,1,59
3911827,3911722,401,416,246,426,1,59
3911722,3911835,194,373,246,426,1,59
3911835,3911722,401,416,246,426,1,59
3911722,3911852,194,373,281,473,1,143
3911852,3911722,233,378,246,426,1,143
3911722,3911841,194,373,246,426,1,59
3911841,3911722,401,413,246,426,1,59
3911722,3911673,194,373,156,336,1,57
3911673,3911722,233,378,246,426,1,57
3911722,3911668,194,373,100,338,1,104
3911668,3911722,194,373,246,426,1,104
3911722,3911908,194,373,100,338,1,104
3911908,3911722,194,373,246,426,1,104
3911722,3911667,194,373,182,288,1,90
3911667,3911722,194,373,246,426,1,90
3911722,3911987,194,373,246,426,1,59
3911987,3911722,241,369,246,426,1,59
3911722,3911941,194,373,390,394,1,202
3911941,3911722,376,419,246,426,1,202
3911722,3911930,194,373,390,393,1,203
3911930,3911722,359,420,246,426,1,203
3911722,3911660,194,373,115,454,1,186
3911660,3911722,398,436,246,426,1,186
3911722,3912104,194,373,115,454,1,186
3912104,3911722,398,436,246,426,1,186
3911722,3912122,194,373,246,426,1,59
3912122,3911722,1,230,246,426,1,59
3911722,3912132,194,373,246,426,1,59
3912132,3911722,1,230,246,426,1,59
3911722,3912136,194,373,246,426,1,59
3912136,3911722,1,230,246,426,1,59
3911722,3912139,194,373,246,426,1,59
3912139,3911722,1,230,246,426,1,59
3911722,3912143,194,373,246,426,1,59
3912143,3911722,241,369,246,426,1,59
3911722,3912159,194,373,246,426,1,59
3912159,3911722,237,375,246,426,1,59
3911722,3912162,194,373,246,426,1,59
3912162,3911722,237,375,246,426,1,59
3911722,3911662,194,373,104,319,1,173
3911662,3911722,344,444,246,426,1,173
3911722,3912166,194,373,246,426,1,59
3912166,3911722,1,230,246,426,1,59
3911722,3912169,194,373,246,426,1,59
3912169,3911722,241,369,246,426,1,59
3911722,3912171,194,373,104,319,1,173
3912171,3911722,344,444,246,426,1,173
3911722,3912182,194,373,246,426,1,59
3912182,3911722,1,230,246,426,1,59
3911722,3912186,194,373,246,426,1,59
3912186,3911722,1,230,246,426,1,59
3911722,3912185,194,373,104,319,1,173
3912185,3911722,344,444,246,426,1,173
3911722,3912191,194,373,246,426,1,59
3912191,3911722,1,230,246,426,1,59
3911722,3912194,194,373,246,426,1,59
3912194,3911722,1,230,246,426,1,59
3911722,3912193,194,373,104,319,1,173
3912193,3911722,344,444,246,426,1,173
3911722,3912155,194,373,115,454,1,186
3912155,3911722,398,436,246,426,1,186
3911722,3912207,194,373,246,426,1,59
3912207,3911722,1,230,246,426,1,59
3911722,3911661,194,373,151,341,1,49
3911661,3911722,344,444,246,426,1,49
3911722,3911931,194,373,127,186,1,198
3911931,3911722,355,421,246,426,1,198
3911722,3912222,194,373,246,426,1,59
3912222,3911722,1,230,246,426,1,59
3911722,3912211,194,373,115,454,1,186
3912211,3911722,398,436,246,426,1,186
3911722,3911678,194,373,98,483,1,218
3911678,3911722,1,230,246,426,1,218
3911722,3912216,194,373,133,192,1,192
3912216,3911722,378,411,246,426,1,192
3911722,3912244,194,373,115,454,1,186
3912244,3911722,398,436,246,426,1,186
3911722,3911942,194,373,390,394,1,202
3911942,3911722,382,419,246,426,1,202
3911722,3912258,194,373,246,426,1,59
3912258,3911722,1,230,246,426,1,59
3911722,3911927,194,373,131,199,1,185
3911927,3911722,353,412,246,426,1,185
3911722,3912268,194,373,246,426,1,59
3912268,3911722,1,230,246,426,1,59
3911722,3912272,194,373,246,426,1,59
3912272,3911722,1,230,246,426,1,59
3911722,3912270,194,373,115,454,1,186
3912270,3911722,398,436,246,426,1,186
3911722,3912277,194,373,246,426,1,59
3912277,3911722,1,230,246,426,1,59
3911722,3912299,194,373,246,426,1,59
3912299,3911722,402,426,246,426,1,59
3911722,3912301,194,373,246,426,1,59
3912301,3911722,402,426,246,426,1,59
3911722,3912306,194,373,246,426,1,59
3912306,3911722,402,426,246,426,1,59
3911722,3912340,194,373,246,426,1,59
3912340,3911722,1,230,246,426,1,59
3911722,3912312,194,373,104,204,1,206
3912312,3911722,385,427,246,426,1,206
3911722,3912084,194,373,190,296,1,78
3912084,3911722,1,230,246,426,1,78
3911722,3912347,194,373,246,426,1,59
3912347,3911722,1,230,246,426,1,59
3911722,3912350,194,373,246,426,1,59
3912350,3911722,402,426,246,426,1,59
3911722,3912172,194,373,91,328,1,131
3912172,3911722,402,426,246,426,1,131
3911722,3912353,194,373,246,426,1,59
3912353,3911722,402,426,246,426,1,59
3911722,3912345,194,373,126,199,1,184
3912345,3911722,384,424,246,426,1,184
3911722,3912355,194,373,246,426,1,59
3912355,3911722,402,426,246,426,1,59
3911722,3912177,194,373,260,483,1,114
3912177,3911722,1,230,246,426,1,114
3911722,3912364,194,373,242,416,1,55
3912364,3911722,401,419,246,426,1,55
3911722,3912363,194,373,91,328,1,131
3912363,3911722,402,426,246,426,1,131
3911722,3912180,194,373,133,472,1,0
3912180,3911722,1,230,246,426,1,0
3911722,3912369,194,373,131,194,1,190
3912369,3911722,373,411,246,426,1,190
3911722,3912378,194,373,242,416,1,55
3912378,3911722,1,230,246,426,1,55
3911722,3912382,194,373,91,328,1,131
3912382,3911722,401,419,246,426,1,131
3911722,3912387,194,373,242,416,1,55
3912387,3911722,1,230,246,426,1,55
3911722,3912391,194,373,242,416,1,55
