Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3883117,Service,11.414877140106325,11.414877140106313,21.414877140106313,10.0
1,2,3883117,0,Return to Base,11.414877140106325,,,
2,1,0,3883155,Service,11.414877140106325,11.414877140106313,21.414877140106313,10.0
2,2,3883155,3883040,Service,10.323719424560815,31.73859656466712,41.73859656466712,10.0
2,3,3883040,0,Return to Base,11.414877140106325,,,
3,1,0,3883100,Service,10.0,10.0,20.0,10.0
3,2,3883100,3883042,Service,10.348835586811225,30.34883558681122,40.34883558681122,10.0
3,3,3883042,0,Return to Base,11.414877140106325,,,
4,1,0,3883075,Service,10.0,10.0,20.0,10.0
4,2,3883075,3883041,Service,10.348835586811225,30.34883558681122,40.34883558681122,10.0
4,3,3883041,0,Return to Base,11.414877140106325,,,
