Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3886417,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
1,2,3886417,3881544,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
1,3,3881544,3881331,Service,10.775810345068162,55.19828177543357,66.4216151087669,11.22333333333333
1,4,3881331,0,Return to Base,11.199994418630611,,,
2,1,0,3886664,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
2,2,3886664,3883680,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
2,3,3883680,0,Return to Base,11.199994418630611,,,
3,1,0,3888788,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
3,2,3888788,3883939,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
3,3,3883939,3881324,Service,10.775810345068162,55.19828177543357,66.4216151087669,11.22333333333333
3,4,3881324,0,Return to Base,11.199994418630611,,,
