Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3889976,Service,11.199994418630611,0.0,11.223333333333333,11.223333333333333
1,2,3889976,0,Return to Base,11.199994418630611,,,
2,1,0,3890076,Service,11.199994418630611,0.0,11.223333333333333,11.223333333333333
2,2,3890076,3888794,Service,10.775810345068162,21.999143678401484,33.22247701173482,11.223333333333333
2,3,3888794,0,Return to Base,11.199994418630611,,,
3,1,0,3889881,Service,11.199994418630611,0.0,11.223333333333333,11.223333333333333
3,2,3889881,3889687,Service,10.775810345068162,21.999143678401484,33.22247701173482,11.223333333333333
3,3,3889687,0,Return to Base,11.199994418630611,,,
4,1,0,3889708,Service,11.199994418630611,0.0,11.223333333333333,11.223333333333333
4,2,3889708,3889828,Service,10.775810345068162,21.999143678401484,33.22247701173482,11.223333333333333
4,3,3889828,0,Return to Base,11.199994418630611,,,
