Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3913531,Service,10.80650787670755,0.0,10.966666666666667,10.966666666666667
1,2,3913531,3913324,Service,10.870693624680815,21.837360291347494,32.80402695801416,10.966666666666669
1,3,3913324,3913463,Service,10.870693624680815,43.67472058269499,54.64138724936166,10.966666666666669
1,4,3913463,3913425,Service,10.870693624680815,65.51208087404248,76.47874754070915,10.966666666666669
1,5,3913425,3913376,Service,10.870693624680815,87.34944116538998,98.31610783205664,10.966666666666669
1,6,3913376,0,Return to Base,10.80650787670755,,,
2,1,0,3913512,Service,10.80650787670755,0.0,10.966666666666667,10.966666666666667
2,2,3913512,3913497,Service,10.870693624680815,21.837360291347494,32.80402695801416,10.966666666666669
2,3,3913497,3913447,Service,10.870693624680815,43.67472058269499,54.64138724936166,10.966666666666669
2,4,3913447,3913405,Service,10.870693624680815,65.51208087404248,76.47874754070915,10.966666666666669
2,5,3913405,3913342,Service,10.870693624680815,87.34944116538998,98.31610783205664,10.966666666666669
2,6,3913342,0,Return to Base,10.80650787670755,,,
