Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891085,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
1,2,3891085,3883988,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
1,3,3883988,0,Return to Base,11.199994418630611,,,
2,1,0,3889638,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
2,2,3889638,3883998,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
2,3,3883998,0,Return to Base,11.199994418630611,,,
3,1,0,3889417,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
3,2,3889417,3883129,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
3,3,3883129,0,Return to Base,11.199994418630611,,,
4,1,0,3886769,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
4,2,3886769,0,Return to Base,11.199994418630611,,,
5,1,0,3891526,Service,11.199994418630611,11.19999441863061,22.423327751963942,11.223333333333333
5,2,3891526,3884173,Service,10.775810345068162,33.19913809703209,44.42247143036542,11.22333333333333
5,3,3884173,0,Return to Base,11.199994418630611,,,
