Operator,Task,Start,Finish,Successor
1,3890313,12.293942818870619,23.527276152203953,3889857
1,3889857,34.55982948916518,45.799829489165184,0
2,3880943,12.293942818870619,23.50727615220395,3883366
2,3883366,34.545410858554156,45.78541085855416,0
3,3881446,12.293942818870619,23.50727615220395,3885818
3,3885818,34.545410858554156,45.78541085855416,0
4,3880277,12.293942818870619,23.527276152203953,3881050
4,3881050,34.55982948916518,45.793162822498516,0
5,3880312,12.296733503565093,23.520066836898426,3878590
5,3878590,34.547038804470674,45.78037213780401,0
